source,target,weight
MZ440654.1,OK504623.1,0.9774863204029045
MZ440654.1,MW315773.1,0.8871321771568503
MZ440654.1,NC_057052.1,0.8871321771568503
MZ440654.1,ON479588.1,0.8878308415811191
MZ440654.1,NC_069838.1,0.8878308415811191
MZ440654.1,BK059220.1,0.8940958327040153
MZ440654.1,MZ440655.1,0.8518745821351079
MZ440654.1,EU557269.1,0.8681610188091523
MZ440654.1,NC_011823.1,0.8681610188091523
MZ440654.1,KU562917.1,0.8659299289186138
MZ440654.1,KT824636.1,0.8521120345912933
MZ440654.1,NC_028619.1,0.8521120345912933
MZ440654.1,MK656322.1,0.9734216137607178
MZ440654.1,NC_060317.1,0.9734216137607178
MZ440654.1,KU562918.1,0.926251443709511
MZ440654.1,NC_030762.1,0.926251443709511
MZ440654.1,OQ457268.1,0.8865546527218386
MZ440654.1,OQ457269.1,0.9137525330565353
MZ440654.1,MK033622.1,0.9132800336202705
MZ440654.1,NC_041236.1,0.9132800336202705
MZ440654.1,MK903577.2,0.9236563184104792
OK504623.1,MZ440657.1,0.874226233008881
OK504623.1,ON243749.1,0.8907777648856515
OK504623.1,NC_071757.1,0.8907777648856515
OK504623.1,MW315773.1,0.8993166902224007
OK504623.1,NC_057052.1,0.8993166902224007
OK504623.1,ON649877.1,0.8870856310352719
OK504623.1,ON479588.1,0.9218342320895822
OK504623.1,NC_069838.1,0.9218342320895822
OK504623.1,MZ427921.1,0.8737852230050526
OK504623.1,BK059220.1,0.8981345417479497
OK504623.1,MZ440655.1,0.8777163138071633
OK504623.1,EU557269.1,0.8533587797741555
OK504623.1,NC_011823.1,0.8533587797741555
OK504623.1,MK656322.1,0.9559768907848667
OK504623.1,NC_060317.1,0.9559768907848667
OK504623.1,OM731663.1,0.8788410548865218
OK504623.1,KU562918.1,0.8752499284196894
OK504623.1,NC_030762.1,0.8752499284196894
OK504623.1,OQ457269.1,0.948089227864996
OK504623.1,MK033622.1,0.8998669208485418
OK504623.1,NC_041236.1,0.8998669208485418
OK504623.1,MK903577.2,0.9411947706652148
GU344100.1,NC_014887.1,0.9999999999999999
GU344100.1,KX673195.1,0.9920069781171242
GU344100.1,PP588449.1,0.9954334515898023
GU344100.1,NC_088527.1,0.9954334515898023
GU344100.1,EU938372.1,0.9843700807164913
GU344100.1,NC_011303.1,0.9843700807164913
GU344100.1,KY236114.1,0.8714335563657079
GU344100.1,NC_034674.1,0.8714335563657079
GU344100.1,MK903555.1,0.8506524337335131
GU344100.1,MT340751.1,0.8538957090039038
GU344100.1,NC_052715.1,0.8538957090039038
GU344100.1,KM521245.1,0.8771773751051029
GU344100.1,NC_025558.1,0.8771773751051029
GU344100.1,MN083193.1,0.8934715479726885
GU344100.1,KM670011.1,0.8797222973413219
GU344100.1,NC_025946.1,0.8797222973413219
GU344100.1,MN083204.1,0.862654135870836
GU344100.1,OQ612708.1,0.8565866857971037
GU344100.1,OR253923.1,0.8693245158275077
GU344100.1,NC_082223.1,0.8693245158275077
GU344100.1,MN083182.1,0.8797906390479577
GU344100.1,NC_046543.1,0.8797906390479577
GU344100.1,MT499330.1,0.8975990157940457
GU344100.1,NC_052731.1,0.8975990157940457
GU344100.1,KP889242.1,0.8924423353009469
GU344100.1,MN083167.1,0.8935274535956845
GU344100.1,NC_046535.1,0.8935274535956845
GU344100.1,OP373194.1,0.8826606193234724
GU344100.1,NC_071951.1,0.8826606193234724
GU344100.1,MN083195.1,0.8967702622011954
GU344100.1,NC_046553.1,0.8967702622011954
GU344100.1,KU244468.1,0.8939658636316365
GU344100.1,KU244469.1,0.8959882547115604
GU344100.1,MN083168.1,0.8810485305162904
GU344100.1,NC_046536.1,0.8810485305162904
GU344100.1,KU244467.1,0.875706335979323
GU344100.1,KP216695.1,0.9060805288982582
GU344100.1,MN083196.1,0.8953538481893818
GU344100.1,NC_046554.1,0.8953538481893818
GU344100.1,PP669995.1,0.8604243830964609
GU344100.1,MK903585.1,0.9390355608285788
GU344100.1,GU270284.1,0.9390924691093069
GU344100.1,NC_019994.1,0.9390924691093069
GU344100.1,OQ241410.1,0.9178615658957385
GU344100.1,NC_072963.1,0.9178615658957385
GU344100.1,KT157830.1,0.8580026226910261
GU344100.1,NC_029408.1,0.8580026226910261
GU344100.1,OR066428.1,0.8500538119591555
GU344100.1,NC_084452.1,0.8500538119591555
GU344100.1,MT499331.1,0.922123953539556
GU344100.1,NC_052732.1,0.922123953539556
GU344100.1,OQ282996.1,0.8783511087275895
GU344100.1,NC_080530.1,0.8783511087275895
GU344100.1,OQ241411.1,0.8858548368856979
GU344100.1,NC_072964.1,0.8858548368856979
GU344100.1,MK113716.1,0.8804644378148448
GU344100.1,NC_045237.1,0.8804644378148448
GU344100.1,MT916717.1,0.8947264008942936
GU344100.1,NC_053658.1,0.8947264008942936
GU344100.1,MN046214.1,0.9019775135003459
GU344100.1,NC_046411.1,0.9019775135003459
GU344100.1,MN083170.1,0.8650597356774873
GU344100.1,NC_046537.1,0.8650597356774873
GU344100.1,KM068093.1,0.8703868287975255
GU344100.1,MN046215.1,0.8832125024526752
GU344100.1,NC_046529.1,0.8832125024526752
GU344100.1,JX913769.1,0.863720139231361
GU344100.1,NC_020774.1,0.863720139231361
GU344100.1,JN858148.1,0.866960497960837
GU344100.1,JN858149.1,0.8762914062879571
GU344100.1,JN858150.1,0.8701025049694494
GU344100.1,JN858151.1,0.868800728092811
GU344100.1,JN858152.1,0.8688178002310696
GU344100.1,JN858153.1,0.8706198827985632
GU344100.1,JN858154.1,0.9053619868327499
GU344100.1,JN858155.1,0.8679778305609558
